sample_id,attack,original_text,attack_text,pred,spam_prob,is_spam_gt,is_pred_spam
0,original,TheMob>Yo yo yo-Here comes a new selection of hot downloads for our members to get for FREE! Just click & open the next link sent to ur fone...,TheMob>Yo yo yo-Here comes a new selection of hot downloads for our members to get for FREE! Just click & open the next link sent to ur fone...,ham,0.4413805129583256,1,0
0,leetspeak,TheMob>Yo yo yo-Here comes a new selection of hot downloads for our members to get for FREE! Just click & open the next link sent to ur fone...,7h3M0b>Y0 y0 y0-H3r3 c0m3$ @ n3w $3l3c710n 0f h07 d0wnl0@d$ f0r 0ur m3mb3r$ 70 g37 f0r FR33! Ju$7 cl1ck & 0p3n 7h3 n3x7 l1nk $3n7 70 ur f0n3...,ham,0.29866194230442406,1,0
0,spacing,TheMob>Yo yo yo-Here comes a new selection of hot downloads for our members to get for FREE! Just click & open the next link sent to ur fone...,TheMob>Yo_ yo yo-Here comes a ne-w sele_ction of h.o-t downlo.ads for our members to get for FREE! Ju st cl-i ck & ope-n  th e_ n.e-xt link sent to ur fon.e...,ham,0.3345192029236977,1,0
0,split_keywords,TheMob>Yo yo yo-Here comes a new selection of hot downloads for our members to get for FREE! Just click & open the next link sent to ur fone...,TheMob>Yo yo yo-Here comes a new selection of hot downloads for our members to get for f r e e! Just click & open the next link sent to ur fone...,ham,0.35336308862288146,1,0
0,url_obfuscation,TheMob>Yo yo yo-Here comes a new selection of hot downloads for our members to get for FREE! Just click & open the next link sent to ur fone...,TheMob>Yo yo yo-Here comes a new selection of hot downloads for our members to get for FREE! Just click & open the next link sent to ur fone[.][.][.],ham,0.4413805129583256,1,0
0,typos,TheMob>Yo yo yo-Here comes a new selection of hot downloads for our members to get for FREE! Just click & open the next link sent to ur fone...,TheMoob>Yo yo yo-Here coms a new selection o hot downoads for our members to get for FREE! Just click & open the next link sent to ur fone...,ham,0.4313382439223025,1,0
1,original,74355 XMAS iscoming & ur awarded either å£500 CD gift vouchers & free entry 2 r å£100 weekly draw txt MUSIC to 87066 TnC,74355 XMAS iscoming & ur awarded either å£500 CD gift vouchers & free entry 2 r å£100 weekly draw txt MUSIC to 87066 TnC,spam,0.7576187215893216,1,1
1,leetspeak,74355 XMAS iscoming & ur awarded either å£500 CD gift vouchers & free entry 2 r å£100 weekly draw txt MUSIC to 87066 TnC,74355 XM@$ 1$c0m1ng & ur @w@rd3d 317h3r å£500 CD g1f7 v0uch3r$ & fr33 3n7ry 2 r å£100 w33kly dr@w 7x7 MU$1C 70 87066 7nC,ham,0.3360030885805544,1,0
1,spacing,74355 XMAS iscoming & ur awarded either å£500 CD gift vouchers & free entry 2 r å£100 weekly draw txt MUSIC to 87066 TnC,74355 XMAS is-coming & ur awa-rded eith_er å£500 CD g-ift vo_uchers & fr ee ent ry 2. r å£1 00 w-eek ly draw txt MUSIC_ to 87066 Tn-C,ham,0.47247763436159845,1,0
1,split_keywords,74355 XMAS iscoming & ur awarded either å£500 CD gift vouchers & free entry 2 r å£100 weekly draw txt MUSIC to 87066 TnC,74355 XMAS iscoming & ur awarded either å£500 CD gift vouchers & f r e e entry 2 r å£100 weekly draw txt MUSIC to 87066 TnC,spam,0.6892765069928636,1,1
